Aircraft,Type,Use,Status (Qty),Dates From To,Research Centers,Current Location,Comments,
Bell UH-1H Iroquois (Huey) ,Rotorcraft,,Active (1),,Wallops Flight Facility,Wallops Flight Facility,,
Convair F–106 Delta Dart (QF–106A) ,Fixed Wing,,Retired,1986 - 1998,,Langley Research Center,,
Douglas C-118 Liftmaster ,Fixed Wing,,,,Wallops Flight Facility,,,
Dyke Delta ,Fixed Wing,,,,,,,
Grumman Gulfstream I ,Fixed Wing,,,,,Johnson Space Center,,
Hawker Siddeley P.1127 ,V/STOL,,Retired,,Langley Research Center,,,
Lockheed C-121 Starliner ,Fixed Wing,,Active,,,,,
McDonnell 188(Breguet 941) ,STOL,,Retired (1),Ames Research Center,,,,
NASA Hyper III ,"Fixed Wing, UAV",,Retired (1),,Dryden Flight Research Center,,,
North American F-100 Super Sabre ,Fixed Wing,,Retired,Dryden Flight Research Center,,,,
McDonnell Douglas F-15B,,,Retired,,Dryden Flight Research Center,Dryden Flight Research Center(837),"The F-15B research aircraft (tail number 837), the first two-seat F-15 built by McDonnell Douglas, was used initially for developmental testing and evaluation.",
Boeing B-52B ,,,Retired,,Dryden Flight Research Center,"Pima Air & Space Museum(003), Air Force Flight Test Center Museum (008)",X-15 & X-43A launch from Boeing B-52 mothership,
Douglas D-558-1 Skyrocket ,,,Retired,,Dryden Flight Research Center,"National Museum of Naval Aviation (#1), Carolinas Aviation Museum (#3)",,
Douglas D-558-2 Skyrocket,,,Retired,,Dryden Flight Research Center,"Planes of Fame Museum (#1),National Air and Space Museum (#2), Antelope Valley College (#3)",,
McDonnell Douglas F-15ARPRV/SRV ,,,Retired,,Dryden Flight Research Center,Dryden Flight Research Center,,
Lockheed F-104A Starfighter ,,,Retired,,Dryden Flight Research Center,"National Air and Space Museum (818) (N818NA), Air Force Flight Test Center Museum (N820NA) (0790)",,
Lockheed F-104B Starfighter,,,Retired,,Dryden Flight Research Center,McClellan AFB (N819NA),,
Lockheed F-104G Starfighter,,,Retired,,Dryden Flight Research Center,"Estrella Warbird Museum(N824NA), Dryden Flight Research Center (N826NA)",,
North American F-107 ,,,Retired,,Dryden Flight Research Center,Pima Air and Space Museum(#1) (55-5118),,
Bell Lunar Landing Research Vehicle LLRV ,,,Retired,,Dryden Flight Research Center,Dryden Flight Research Center(#2),,
Piper PA-30 Twin Comanche ,,,Retired,,Dryden Flight Research Center,Kings River Community College (808NA),,
North American X-15A-2 ,,,Retired,,Dryden Flight Research Center,National Museum of the United States Air Force,,
Convair 990(Galileo) ,Fixed Wing,"Airborne observatory,Galileo Observatory",Retired (1) & Crashed (1),,"Ames Research Center,Dryden Flight Research Center",Mojave Air and Space Port,"The Galileo I aircraft was lost in a mid-air collision in 1973 with a P-3. The Galileo II continued service into the 1980s providing research into aeronautics, astronautics, astronomy, and earth observations",
Lockheed C-141A Starlifter ,Fixed Wing,"Airborne observatory,Kuiper Airborne Observatory",Retired (1),1974 - 1995,NASA Ames Research Center,,,
"Boeing 747, (SOFIA) ",Fixed Wing,"Airborne observatory,Stratospheric Observatory for Infrared Astronomy(SOFIA)",Active (1),,"Ames Research Center,Dryden Flight Research Center",Dryden Flight Research Center,,
Learjet 23 ,Fixed Wing,Business jet,,,,,,
Learjet 24 ,Fixed Wing,Business jet,,,,,,
Learjet 25 ,Fixed Wing,Business jet,Active,,Wallops Flight Facility,Wallops Flight Facility,,
Learjet 28 ,Fixed Wing,Business jet,,,,,,
"Gulfstream G-III, NASA one ",Fixed Wing,Business jet of the NASA Administrator,Active (1),2003 - 2008,NA,,NASA one was a Gulfstream G-III with a seating capacity of 12 people. The jet is stored in an FAAhangar along with 3 other government planes.[19]NASA now shares a plane with FAA.,
Lockheed F-104N Starfighter,Fixed Wing,Chase,Retired (6) & Crashed (1),1963 - 1995,Dryden Flight Research Center,"Embry-Riddle Aeronautical University (N811NA) (4045),Lockheed Martin, Palmdale, CA (N812NA)","One of these aircraft, piloted by Joe Walker, collided with the XB-70 Valkyrie experimental bomber on June 8, 1966, killing Walker.",
North American F-86 Sabre ,Fixed Wing,Chase,Retired,Dryden Flight Research Center,,,,
McDonnell Douglas F-4 Phantom II ,Fixed Wing,Chase Plane,Retired,"Dryden Flight Research Center,Langley Research Center",,,"X-15 program, Lifting body flights (also collected biomedical data and used to see if sonic booms could be used as a weapon)",
Bellanca Skyrocket II ,Fixed Wing,Civil Aircraft Test,Retired (1),,Langley Research Center,,,
Cessna 337 Skymaster ,Fixed Wing,"Civil Aircraft Test, Small Aircraft Transportation System",Retired (1),,Langley Research Center,,,
Cessna 318 T-37 Tweet ,Fixed Wing,"Civil Aircraft Test, Small Aircraft Transportation System",Retired (1),,Langley Research Center,,,
Cirrus SR22 ,Fixed Wing,"Civil Aircraft Test, Small Aircraft Transportation System",Retired (1),,Langley Research Center,,,
McCulloch J-2 ,Rotorcraft,Civil Test,,1973,Langley Research Center,,,
OMAC Laser 300 ,Fixed Wing,Civil Test,Retired (3),,Langley Research Center,,,
Aero Spacelines Super Guppy ,Fixed Wing,Heavy transport aircraft,Active (1),,NA,El Paso Forward Operating Location,,
Douglas C-133 Cargomaster ,Fixed Wing,Heavy Transport Aircraft,Retired (?),,,Goleta Air Museum,,
Lockheed C-5 Galaxy ,Fixed Wing,Heavy transport aircraft,Active (2),,,,Flown by USAF crews.,
NASA M2-F1 ,Fixed Wing,Model,Retired (1),,"Ames Research Center,Dryden Flight Research Center",Dryden Flight Research Center,"The NASA M2-F1 was a lightweight, unpowered prototype aircraft, developed to flight test the wingless Lifting body concept. It looked like a ""flying bathtub,"" and was designated the M2–F1, the ""M"" referring to ""manned"" and ""F"" referring to ""flight"" version. In 1962, NASA Dryden management approved a program to build a lightweight, unpowered Lifting body prototype. It featured a plywood shell placed over a tubular steel frame crafted at Dryden. Construction was completed in 1963.[27]",
Lockheed YO–3 Quiet Star ,Fixed Wing,Research,Retired (1),Dryden Flight Research Center,,,,
McDonnell Douglas F/A-18 Hornet (842NA) ,Fixed Wing,Research,Retired,,Dryden Flight Research Center,Clear Channel Stadium,,
General Atomics MQ-9 Reaper(Predator-B IKHANA) ,"Fixed Wing, UAV",Research Platform,Active (1),,Dryden Flight Research Center,Dryden Flight Research Center,,
Lockheed JetStar ,Fixed Wing,Research Platform,Retired (1),1964-1989,Dryden Flight Research Center,,,
Lockheed S–3 Viking ,Fixed Wing,Research Platform,,Active,Glenn Research Center,,,
Beechcraft T-34C ,Fixed Wing,Research Platform & Photographic Chase,Active (2),,"Glenn Research Center,Dryden Flight Research Center","Wallops Flight Facility, Dryden Flight Research Center",,
Martin WB–57 Canberra ,Fixed Wing,"Research Platform -Airborne Science Program,Landsat Earth Resources Survey program (ERS)High Altitude",Active (3),,Lyndon B. Johnson Space Center,Lyndon B. Johnson Space Center,"Earth Resources Technology Satellite program(ERTS), Cirrus Regional Study of Tropical Anvils and Cirrus Layers - Florida Area Cirrus Experiment(CRYSTAL - FACE) and Clouds and Water Vapor in the Climate System (CWVCS)",
McDonnell Douglas F-15 Eagle ,Fixed Wing,"Research Platform, advanced propulsion concepts","Active (1), Retired (1)",1993 – 1999 and IFCS programs 2002 – TBD,Dryden Flight Research Center,Dryden Flight Research CenterF-15S/MTD,,
Boeing 757 ,Fixed Wing,"Research Platform, Advanced technology",Active (1),,,,Ex–Eastern Airlines 757,
Douglas DC-8 ,Fixed Wing,"Research Platform,Airborne Science Program",Active (1),,"National Suborbital Education and Research Center(NSERC),University of North Dakota",Dryden Flight Research Center,,
Lockheed P–3 Orion ,Fixed Wing,"Research Platform,Airborne Science Program",Active (1),,Wallops Flight Facility,Wallops Flight Facility,,
Beechcraft King Air B-200 (UC-12B) ,Fixed Wing,"Research Platform,Airborne Science Program",Active (2),,"Dryden Flight Research Center,Langley Research Center","Dryden Flight Research Center, Langley Research Center",,
Northrop Grumman RQ-4 Global Hawk ,"Fixed Wing, UAV","Research Platform,Airborne Science Program",Active (2),,Dryden Flight Research Center,Dryden Flight Research Center,,
Systems Integration Evaluation Remote Research Aircraft (SIERRA) ,"Fixed Wing, UAV","Research Platform,Airborne Science Program",Crashed (1),,Ames Research Center,Lost at Sea,,
Dassault HU-25C Falcon ,Fixed Wing,"Research Platform,Airborne Science Program",Active (1),,Langley Research Center,Langley Research Center,,
AeroVironment RQ-14 Dragon Eye ,"Fixed Wing, UAV","Research Platform,Airborne Science Program",Active (1),,Ames Research Center,Ames Research Center,,
Cessna 206H ,Fixed Wing,"Research Platform,Airborne Science Program",Active (1),,Langley Research Center,Langley Research Center,,
eXperimental Sensor-Controller Aerial Vehicle (XSCAV),"Fixed Wing, UAV","Research Platform,Airborne Science Program",Active (1),,Ames Research Center,Ames Research Center,,
McDonnell Douglas DC-9 ,Fixed Wing,"Research Platform,Airborne Science Program",Active (1),,Johnson Space Center,,,
"Lockheed U-2 ""Dragon Lady"" ",Fixed Wing,"Research Platform,Airborne Science Program,Landsat Earth Resources Survey program (ERS), High Altitude",Active (2),,Dryden Flight Research Center,,Modified to the ER-2 (Earth Resources-2) standard,
Vought F–8 Crusader (Fly by Wire) ,Fixed Wing,"Research Platform, Digital Fly–By–Wire Control System",Retired (1),1970s,Dryden Flight Research Center,Dryden Flight Research Center,Technology has become standard on modern high performance military aircraft.,
Lockheed NC-130B Hercules ,Fixed Wing,"Research Platform,Landsat Earth Resources Survey program (ERS)",Active (1),,Wallops Flight Facility,Wallops Flight Facility,,
Gulfstream G-III ,Fixed Wing,"Research Platform, Research Platform,Airborne Science Program,Unmanned Air Vehicle Synthetic Aperture Radar(UAVSAR)",Active (1),2003 - Today,"Jet Propulsion Laboratory,Dryden Flight Research Center",Dryden Flight Research Center(NASA C–20A),"Acquired from the United States Air Force and modified by Dryden Flight Research Center. The aircraft was equipped with a self-contained on-board Data Collection and Processing System (DCAPS), which allows for automated configuration setups thereby reducing engineering costs for each flight. The aircraft has been used by theUninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) program, the Access 5 program alongside Scaled Composites Proteus aircraft, and as a test bed to develop collision avoidancesystems and procedures.[18]",
Vought F–8 Crusader(Supercritical wing) ,Fixed Wing,"Research Platform, Supercritical wing",Retired (1),1970s,Dryden Flight Research Center,Dryden Flight Research Center,Technology has become standard on modern high performance military aircraft.,
Lockheed Martin X-56 (MUTT) ,"Fixed Wing, UAV","Research Platform, X-Planes, Multi-Utility Technology Testbed",Retired (1),2012,Dryden Flight Research Center,,"Active flutter suppression and gust load alleviation technology for potential use in future high-altitude, long-endurance (HALE) reconnaissance aircraft.[46]",
Bell XV-15 ,"V/STOL, Tilt Rotor","Research,",Retired (1),,Ames Research Center,,,
General Dynamics F–16 Fighting Falcon ,Fixed Wing,"Research,",Retired (2),1988 - 1999,Dryden Flight Research Center,,"Prototypes of the F–16XL, designed as a competitor to the F-15E Strike Eagle in theUSAF's Enhanced Tactical Fighter program",
General Dynamics F-16XL ,Fixed Wing,"Research,",Retired (2),,"Dryden Flight Research Center,Langley Research Center",Dryden Flight Research Center(1),,
Lockheed YF-12 ,Fixed Wing,"Research,",Retired (1),,"Dryden Flight Research Center,Langley Research Center,Glenn Research Center",National Museum of the United States Air Force,,
North American YF-93 ,Fixed Wing,"Research,",Retired (2),,"Ames Research Center,Dryden Flight Research Center",,,
Pitcairn PAA-1 ,V/STOL,"Research,",Retired (1),,Langley Research Center,,,
"Sikorsky S-72, RSRA ",V/STOL,"Research,",Retired (2),1979-?,"Ames Research Center,Dryden Flight Research Center",,"RSRA, Rotor Systems Research Aircraft",
North American XB-70A Valkyrie ,Fixed Wing,"Research,","Retired (1), Crashed (1)",1965 - 1969,"Ames Research Center,Dryden Flight Research Center",National Museum of the United States Air Force,"NASA participated heavily in the design and testing of the XB-70 Valkyrie in the mid to late 1960s. NASA and the United States Air Force had a joint agreement to use the second XB–70A prototype for high–speed research flights in support of the proposed SST program. These plans went awry on June 8, 1966, when the second XB–70 crashed following a midair collision with NASA's F–104N chase plane. After 33 research flights following the mid–air collision, the remaining XB–70A was flown to Wright-Patterson Air Force Baseon February 4, 1969 for museum display.[25]",
Boeing Vertol VZ-2 (Model 76) ,"V/STOL, Tilt Rotor","Research,",Retired (1),,"Ames Research Center,Dryden Flight Research Center",Smithsonian National Air and Space Museum Paul E. Garber Facility.[28],Built in the United States in 1957 to investigate thetiltwing approach to vertical take-off and landing.,
de Havilland Canada DHC-6 Twin Otter ,Fixed Wing,"Research, aircraft icing",,,Glenn Research Center [12],,,
NASA Mini-Sniffer ,"Fixed Wing, UAV","Research, atmosphere, high altitude",Retired (3),1975 - 1982,"Langley Research Center,Dryden Flight Research Center",,,
Vought XF8U–3 Crusader III ,Fixed Wing,"Research, Atmospheric Platform",Retired (3),1958-?,,,,
Rutan VariEze ,Fixed Wing,"Research, Civil Air",Active,,Langley Research Center,,,
Convair 880 ,Fixed Wing,"Research, Controlled Impact Demonstration Program",Retired (1),,"Ames Research Center,Langley Research Center,Dryden Flight Research Center",,,
Kreider-Reisner XC-31 ,Fixed Wing,"Research, DeIcing",Retired (1),,Langley Research Center,,,
General Atomics ALTUS ,"Fixed Wing, UAV","Research, Environmental Research Aircraft and Sensor Technology (ERAST)",,Dryden Flight Research Center,,,,
AeroVironment Pathfinder ,"Fixed Wing, UAV","Research, Environmental Research Aircraft and Sensor Technology (ERAST)",Retired (1),,"Ames Research Center,Dryden Flight Research Center",,AeroVironment Pathfinder Prototype was an evolutionary solar and fuel cell system poweredunmanned aircraft.,
AeroVironment Helios ,"Fixed Wing, UAV","Research, Environmental Research Aircraft and Sensor Technology (ERAST)",Retired (1),,"Ames Research Center,Dryden Flight Research Center",,NASA's Helios Prototype was an evolutionary solarand fuel cell system powered unmanned aircraft.,
AeroVironment Pathfinder Plus ,"Fixed Wing, UAV","Research, Environmental Research Aircraft and Sensor Technology (ERAST)",Retired (1),,"Ames Research Center,Dryden Flight Research Center",Smithsonian National Air and Space Museum,Pathfinder Plus Prototype was an evolutionarysolar and fuel cell system powered unmanned aircraft.,
