#,Spacecraft,Spacewalkers,Start (UTC),End (UTC),Duration
1,Voskhod 2,  Alexei Leonov,"18 March 1965
08:34:51","18 March 1965
08:47:00",0 h 12 min
,,"Leonov conducted the first EVA in history.[1] Leonov had difficulty fitting back into the spacecraft due to spacesuit stiffness in vacuum, and vented air from his spacesuit in order to bend back into the capsule.[2]",,,
2,Gemini 4,  Edward White,"3 June 1965
19:46:00","3 June 1965
20:06:00",0 h 20 min
,,"White conducted the second EVA in history and the first American EVA.[3] White also had difficulty returning to the Gemini spacecraft. Although he was very fit and athletic, the effort left him exhausted.[4]",,,
,,,,,
3,Gemini 9A,  Eugene Cernan,"5 June 1966
15:02:00","5 June 1966
17:09:00",2 h 7 min
,,"A complex work EVA was planned for Cernan, which involved him moving to the rear of the Gemini spacecraft and donning the Astronaut Maneuvering Unit, developed by the U.S. Air Force.[5] Cernan expended four to five times the expected effort, raising his pulse as high as 180 beats per minute. Excess heat and respiration completely fogged Cernan's visor, and the EVA was cut short. Cernan also had difficulty returning to the spacecraft and closing the hatch.[6]",,,
4,Gemini 10 - EVA 1,  Michael Collins,"19 July 1966
21:44:00","19 July 1966
22:33:00",0 h 49 min
,,"Collins performed a stand-up EVA. Instead of climbing completely out of the spacecraft, Collins extended his torso outside the spacecraft to take photos before and after capsule sunrise. Color photography after sunrise was only partly completed due to severe eye irritation of both Collins and Command Pilot Young. Handling the camera proved difficult due to the stiffness of Collins' gloves.[7]",,,
5,Gemini 10 - EVA 2,  Michael Collins,"20 July 1966
23:01:00","20 July 1966
23:40:00",0 h 39 min
,,"Collins performed an umbilical EVA. With more difficulty than expected, Collins collected the micrometeorite collection package from the exterior of the Gemini spacecraft. Then, using the Hand Held Maneuvering Unit, he pushed to the nearby Agena Target Vehicle to collect its micrometeorite collection package. Collins then pulled on the umbilical cord to return and re-enter the spacecraft.[8]",,,
6,Gemini 11 - EVA 1,  Richard Gordon,"13 September 1966
14:44:00","13 September 1966
15:17:00",0 h 33 min
,,"Gordon attached a tether between the Gemini and Agena Target Vehicle for later orbital mechanics testing. While making the attachment, his workload exceeded the capacity of the spacesuit cooling system, and his vision became obscured by a fogged visor and sweat in his eyes. Planned activities were curtailed by Command Pilot Conrad and Gordon returned to the spacecraft.[9]",,,
7,Gemini 11 - EVA 2,  Richard Gordon,"14 September 1966
12:49:00","14 September 1966
14:57:00",2 h 08 min
,,"Gordon performed a stand-up EVA, extending through the hatch to take astronomical photos. Conrad reported the spacewalk was so relaxing they both fell asleep for a moment after sunrise.[10]",,,
8,Gemini 12 - EVA 1,  Buzz Aldrin,"12 November 1966
16:15:00","12 November 1966
18:44:00",2 h 29 min
,,"Aldrin performed a stand-up EVA. Aldrin took UV still photos and 16 mm color movie pictures, collected external experimental samples, and conducted a light exercise routine.[11]",,,
9,Gemini 12 - EVA 2,  Buzz Aldrin,"13 November 1966
15:34:00","13 November 1966
17:40:00",2 h 06 min
,,"Aldrin’s walk was the first completely successful umbilical EVA, with all objectives achieved. He was able to control his movements and restrict his workload using techniques developed using underwater zero gravity simulations. Aldrin also benefited from the experiences of the previous American EVAs. Aldrin was able to move around the outside of the craft, deploy and recover various experimental packages, install and remove cameras, and practice work techniques using a ratchet-type wrench.[12]",,,
10,Gemini 12 - EVA 3,  Buzz Aldrin,"14 November 1966
14:52:00","14 November 1966
15:47:00",0 h 55 min
,,Aldrin performed another stand-up EVA. Aldrin again extended outside the hatch to take photographs and repeat the light exercise experiment. Exertion levels during exercise were comparable to preflight simulations. Equipment and waste food containers not needed for re-entry were jettisoned from the spacecraft.[13],,,
,,,,,
11,Soyuz 4 &Soyuz 5,"  Yevgeny Khrunov
  Aleksei Yeliseyev","16 January 1969
12:43:00","16 January 1969
01:15:00",0 h 37 min
,,"Khrunov and Yeliseyev conducted the first two-man spacewalk. Both cosmonauts launched in Soyuz 5, which then docked with Soyuz 4. Khrunov and Yeliseyev performed an EVA to transfer to Soyuz 4. Although docked together, Soyuz 4 and Soyuz 5 did not make an internal connection, necessitating the EVA. Khrunov and Yeliseyev returned to Earth aboard Soyuz 4.[14]",,,
12,Apollo 9,"  Rusty Schweickart
  David Scott (Stand up only)","6 March 1969
16:45:00","6 March 1969
18:02:00",1 h 17 min
,,"Schweickart exited the Lunar Module hatch, wearing the Portable Life Support System (PLSS) backpack. Schweickart's backpack provided oxygen, communications, and cooling, independent of his spacecraft. Scott extended out of the Command Module hatch but remained supported by the Command Module through an umbilical cord. Plans for Schweickart to move to the Command Module hatch were scrubbed due to severe space sickness he had suffered the day before.[15]",,,
13,Apollo 11 - Moonwalk,"  Neil Armstrong
  Buzz Aldrin","21 July 1969
02:39:33","21 July 1969
05:11:39",2 h 31 min 40 s
,,"Armstrong became the first man to walk on the Moon. Aldrin followed, describing the Moon as ""magnificent desolation.""[16] During their 2½ hour EVA, the team deployed the Early Apollo Scientific Experimental Package, took a call from President Nixon, collected rock and core samples, raised a US Flag, and took photographs.[17] Armstrong reported moving around on the Moon was easier than the simulation.[16]",,,
14,Apollo 12 - First Moonwalk,"  Pete Conrad
  Alan Bean","19 November 1969
11:32:35","19 November 1969
15:28:38",3 h 56 min 03 s
,,"During the first Apollo 12 moonwalk, Conrad and Bean deployed the Modular Equipment Stowage Assembly, collected and stowed the contingency sample, erected the solar wind foil, collected core samples and more surface samples, and deployed the Apollo Lunar Surface Experiments Package.[18] Early in the moonwalk, Bean accidentally pointed the color TV camera toward the Sun and destroyed the camera. Communication to the ground for the remainder of their moonwalks became radio-only.[19] The two were surprised to find photocopies of Playboy Playmate pictures inserted into some pages of their cuff checklist, a prank done by their backup crew.",,,
15,Apollo 12 - Second Moonwalk,"  Pete Conrad
  Alan Bean","November 20, 1969
03:54:45","November 20, 1969
07:44:00",3 h 49 min 15 s
,,Conrad and Bean collected additional core and rock samples and traveled over 600 feet to Surveyor 3 to collect some parts (including the TV camera) off the robotic lander. They also retrieved the solar wind foil deployed on their earlier moonwalk.[20],,,
,,,,,
16,"Apollo 14
First Moonwalk","  Alan Shepard
  Edgar Mitchell","February 5, 1971
14:42:13","February 5, 1971
19:30:50",4 h 47 min 50 s
,,"Shepard and Mitchell deployed the Modular Equipment Stowage Assembly, grabbed a contingency sample, and successfully set up the color TV camera. They erected an American flag and the solar wind foil. They then deployed the ALSEP and proceeded to collect core samples and several large moon rocks.[21]",,,
17,"Apollo 14
Second Moonwalk","  Alan Shepard
  Edgar Mitchell","February 6, 1971
08:11:15","February 6, 1971
12:45:56",4 h 34 min 41 s
,,"Shepard and Mitchell trekked 1300 meters (almost a mile) up the side of Cone crater, collecting rock samples, taking photographs and deploying a portable magnetometer. Although they came close, the team didn’t find the rim of the crater due to the difficulty of navigating the stark lunarscape.[22] Before re-entering the Lunar Module, Shepard used a modified sample tool to hit a couple of golf balls.[23]",,,
18,"Apollo 15
Stand up EVA",  David Scott,"July 31, 1971
00:16:49","July 31, 1971
00:49:56",33 min 07 s
,,"Scott stood in the top hatch of the Lunar Module, visually surveying and photographing the landing site. He identified future EVA destinations and confirmed suitability for Lunar Rover access.[24]",,,
19,"Apollo 15
First Moonwalk","  David Scott
  James Irwin","July 31, 1971
13:12:17","July 31, 1971
19:45:59",6 h 32 min 42 s
,,"Scott and Irwin were the first team to ride the Lunar Rover on the moon. After securing the contingency sample, they drove the rover (equipped with a TV camera beaming video back to Houston) to Elbow Crater and then to St. George Crater, collecting rock samples and taking photographs on the 5.6-mile (9.0 km) trip. On return to the Lunar Module, the moonwalkers deployed the ALSEP.[25]",,,
20,"Apollo 15
Second Moonwalk","  David Scott
  James Irwin","August 1, 1971
11:48:48","August 1, 1971
19:01:02",7 h 12 min 14 s
,,"Scott and Irwin traveled a southbound loop of 6.8 miles (10.9 km) in the Lunar Rover, collecting rock and soil samples, photographs, and a core sample. They stopped at the Apennine front, Spur Crater, and Dune Crater. At the Spur Crater rim Scott and Irwin spotted and collected a white rock later estimated to be 4.5 billion years old. Almost as old as the Moon itself, sample 15415 has become known as Genesis Rock, the oldest rock recovered during the Apollo missions.[26]After returning to the Lunar Module, they completed work around the ALSEP before re-entering the LM.[27]",,,
21,"Apollo 15
3rd Moonwalk","  David Scott
  James Irwin","August 2, 1971
08:52:14","August 2, 1971
13:42:04",4 h 49 min 50 s
,,"The spacewalkers' last Lunar Rover ride traveled 2.8 miles (4.5 km) westward toward Hadley Rille. Sample collections and photographs were taken at Scarp Crater, Rim Crater, and The Terrace on the rim of the Hadley Rille. Returning to the Lunar Module, Scott and Irwin collected the long core sample from the area of the ALSEP.[28]",,,
22,"Apollo 15
Transearth EVA","  Alfred Worden
  James Irwin (Stand up only)","August 5, 1971
15:31:12","August 5, 1971
16:10:19",39 min 07 s
,,First ever deep space EVA. Worden made three trips to the Scientific Instrument Module (SIM) on the Service Module to recover the film cassettes from the panoramic and mapping cameras and to examine the SIM for anomalies.[29] Irwin stood in the hatch to assist and photograph the spacewalk.[30],,,
,,,,,
23,"Apollo 16
First Moonwalk","  John W. Young
  Charles Duke","April 21, 1972
16:47:28","April 21, 1972
23:58:40",7 h 11 min 02 s
,,"Young and Duke deployed the ALSEP. Then the moonwalkers boarded the Lunar Rover and traveled to Flag, Spook, and Buster Craters to collect rock and soil samples and to take photographs. At Buster Crater the lunar portable magnetometer was deployed.[31]",,,
24,"Apollo 16
Second Moonwalk","  John W. Young
  Charles Duke","22 April 1972
16:33:35","22 April 1972
23:56:44",7 h 23 min 09 s
,,"Astronauts Young and Duke traveled to the slopes of Stone Mountain, stopping at nine sites to collect samples, take photographs, and deploy a lunar portable magnetometer.[32] The round trip on the Lunar Rover totaled 7.2 miles (11.6 km).[33]",,,
25,"Apollo 16
Third Moonwalk","  John W. Young
  Charles Duke","April 23, 1972
15:25:28","April 23, 1972
21:05:31",5 h 40 min 03 s
,,"Young and Duke climbed back onto the Lunar Rover and traveled to Palmetto and End Crater, finally reaching the rim of North Ray Crater.[34] At the North Ray rim, they left to the LM and walked to the largest boulder (dubbed ‘’House Rock’’) sampled by the Apollo missions.[35] Young and Duke set the lunar land speed record of 10.5 miles per hour (16.9 km/h) during the third EVA.[33]",,,
26,"Apollo 16
Transearth EVA","  Thomas Mattingly
  Charles Duke (Stand up only)","April 25, 1972
20:33:46","April 25, 1972
21:57:28",1 h 23 min 42 s
,,Command Module Pilot Mattingly retrieved the panoramic and mapping camera film cassettes from the SIM bay. Lunar Module Pilot Duke stood in the hatch to support Mattingly and to operate the microbial ecology evaluation device.[36],,,
27,"Apollo 17
First Moonwalk","  Eugene Cernan
  Harrison Schmitt","December 11, 1972
23:54:49","12 December 1972
07:06:42",7 h 11 min 53 s
,,"Cernan and Schmitt deployed the ALSEP. Due to time restraints, their first trip on the Lunar Rover had to be shortened to a single stop near Emory Crater. This first EVA trip looped 2.2 miles (3.5 km) to collect about 31 pounds (14 kg) of geological samples.[37]:pp. 10–15",,,
28,"Apollo 17
Second Moonwalk","  Eugene Cernan
  Harrison Schmitt","12 December 1972
23:28:06","13 December 1972
07:05:02",7 h 36 min 56 s
,,"Cernan and Schmitt rode almost 5 miles (8.0 km) miles in the Lunar Rover toward the South Massif, stopping at Hole-in-the-Wall and Ballet Crater to collect samples. At Shorty Crater, Schmitt discovered orange-colored soil.[38]",,,
29,"Apollo 17
Third Moonwalk - Last moonwalk as of 2013","  Eugene Cernan
  Harrison Schmitt","13 December 1972
22:25:48","December 14, 1972
05:40:56",7 h 15 min 08 s
,,"On their last moonwalk, Cernan and Schmitt drove the Lunar Rover toward the North Massif.[39] They explored a large split boulder called Tracy’s Rock, (named for Cernan’s daughter) taking samples, making photographs, and providing oral descriptions of the area.[38] The moonwalkers also visited the Sculptured Hills and Van Serg Crater as they finished their 7.5 miles (12.1 km) final ride.[37]:pp. 10–16 Cernan is the last person to date to walk on the lunar surface.",,,
30,"Apollo 17
Transearth EVA","  Ronald Evans
  Harrison Schmitt (Stand up only)","December 17, 1972
20:27:40","December 17, 1972
21:33:24",1 h 05 min 44 s
,,"Last deep space EVA in history. No problems were encountered as Evans recovered the panoramic and mapping film cassettes and the lunar sounder tape from the SIM bay on the Service Module, and handed them to Schmitt in the Command Module hatch.[37]:pp. 10–43",,,
,,,,,
31,Skylab 2CM - EVA 1,  Paul J. Weitz,"May 26, 1973
00:40","May 26, 1973
01:20",40 min
,,"Using a 10-foot (3.0 m) long tool, Pilot Weitz stood in the open hatch of the Command Module (as Science Pilot Joseph Kerwin held onto his legs) and tried to remove a strap preventing the release of a solar array wing on Skylab.[40]",,,
32,Skylab 2 - EVA 2,"  Pete Conrad
  Joseph Kerwin","June 7, 1973
15:15","June 7, 1973
18:40",3 h 25 min
,,"Conrad and Kerwin used long-handled cable cutters to remove debris that prevented the remaining solar array wing from deploying (the other was sheared off from the station during its launch). They then forced the solar wing to deploy, providing Skylab with the electrical power needed to operate.[41]",,,
33,Skylab 2 - EVA 3,"  Pete Conrad
  Paul Weitz","June 19, 1973
10:55","June 19, 1973
12:31",1 h 36 min
,,Conrad and Weitz ventured outside the station to replace exposed film cassettes in the Apollo Telescope Mount with fresh film. Conrad also fixed an electrical relay by whacking it with a hammer.[42],,,
34,Skylab 3 - EVA 1,"  Owen Garriott
  Jack Lousma","August 6, 1973
17:30","August 7, 1973
00:01",6 h 31 min
,,Garriot and Lousma erected a twin-pole solar shield to improve temperature control in Skylab. They also replaced film cassettes in the Apollo Telescope Mount solar observatory and installed micrometeoroid detection panels.[43],,,
35,Skylab 3 - EVA 2,"  Owen Garriott
  Jack Lousma","August 24, 1973
16:24","August 24, 1973
20:55",4 h 31 min
,,"Garriott and Lousma disconnected external cabling, installed a new gyroscope selection box, and reconnected the cabling to the box. They also replaced the film in the solar observatory.[44]",,,
36,Skylab 3 - EVA 3,"  Owen Garriott
  Alan Bean","September 22, 1973
11:18","September 22, 1973
13:59",2 h 41 min
,,Garrett and Bean replaced the film in the solar observatory. They also collected the Thermal Coatings Experiment Panel for return to Earth.[45],,,
37,Skylab 4 - EVA 1,"  Edward Gibson
  William Pogue","November 22, 1973
17:42","November 23, 1973
00:15",6 h 33 min
,,Gibson and Pogue spent 6½ hours on their first EVA replacing the film on the solar observatory and repairing the antenna for the Earth Resources Experiment Package.[46],,,
38,Skylab 4 - EVA 2,"  Gerald Carr
  William Pogue","25 December 1973
16:00","25 December 1973
23:01",7 h 01 min
,,Carr and Pogue used the extreme ultraviolet electronographic camera and the coronagraph contamination camera to photograph Comet Kohoutek. They also replaced the film in the solar observatory.[47],,,
39,Skylab 4 - EVA 3,"  Gerald Carr
  Edward Gibson","December 29, 1973
17:00","December 29, 1973
20:29",3 h 29 min
,,Carr and Gibson photographed Comet Kohoutek as it appeared from behind the Sun. They also recovered the Thermal Control Coatings Experiment panel.[48],,,
,,,,,
40,Skylab 4 - EVA 4,"  Gerald Carr
  Edward Gibson","February 3, 1974
15:19","February 3, 1974
20:38",5 h 19 min
,,Carr and Gibson retrieved film from the solar observatory for the last time. They also photographed Kohoutek using the electronographic camera.[47],,,
,,,,,
41,Salyut 6 - PE-1,"  Yuri Romanenko (Stand up only)
  Georgi Grechko","December 19, 1977
21:36","December 19, 1977
23:04",1 h 28 min
,,"The EVA by Romaneko and Grechko was the first Russian EVA in over eight years and the first use of the Orlan-D spacesuit.[49] Grechko inspected the front docking port for damage from the failed Soyuz 25 docking and found no damage. Romaneko, assisting Grechko from the hatch, pushed away from the station without a secure line, and was rescued by Grechko.[50]",,,
,,,,,
42,Salyut 6 - PE-2,"  Vladimir Kovalyonok (Stand up only)
  Aleksandr Ivanchenkov","July 29, 1978
04:00","July 29, 1978
06:20",2 h 05 min
,,Ivanchenkov retrieved samples and experiments attached to the outside of Salyut 6. Kovalyonok assisted with the retrievals and used a color television camera to transmit EVA images to TsUP.[51],,,
,,,,,
43,Salyut 6 - PE-3,"  Valery Ryumin
  Vladimir Lyakhov","August 15, 1979
14:16","August 15, 1979
15:39",1 h 23 min
,,"Ryumin and Lyakhov removed the KRT-10 antenna that had failed to separate from Salyut 6 and had obstructed the station's aft docking port target. After disposing of the antenna, Ryumin collected samples of damaged insulation and a retrieved a micrometeroid detector.[52]",,,
44,Salyut 7 - PE-1,"  Anatoli Berezovoy (Stand up only)
  Valentin Lebedev","July 30, 1982
02:39","July 30, 1982
05:12",2 h 33 min
