astronautics and aeronautics :4258
objective continuation of :1063
total weight not :899
weight not available :894
space flight center :892
payload not available :851
the space shuttle :830
of outer space :704
manned space flight :647
still in orbit :636
the united states :630
the air force :622
as well as :584
on the moon :573
• nasa announced :547
new york times :547
continuation of outer :538
outer space investigations :528
research and development :507
associate administrator for :499
marshall space flight :497
total weight unavailable :493
of the space :490
one of the :486
continuation of cosmos :484
cosmos scientific satellite :480
scientific satellite series :479
of cosmos scientific :476
launched by nasa :475
the soviet union :466
science and technology :452
plesetsk total weight :447
goddard space flight :441
space investigations description :411
academy of sciences :396
not available total :389
available total weight :387
for the first :381
the end of :371
kennedy space center :370
and aeronautics 1965 :367
investigations description unavailable :359
nasa announced that :354
techniques and technology :344
on science and :339
house committee on :338
announced it had :329
would be used :327
aeronautics and space :325
into orbit with :324
was expected to :322
the space program :319
of the moon :317
to the moon :315
the first time :315
a series of :314
part of the :311
manned spacecraft center :310
nasa rpt srl :303
science and astronautics :302
committee on science :302
it would be :299
the washington post :294
and aeronautics 1964 :287
and aeronautics 1972 :283
director of the :276
said that the :275
spaceflight techniques and :269
and aeronautics 1963 :262
in washington dc :260
objective develop spaceflight :259
develop spaceflight techniques :259
nasa proj off :258
in new york :253
rpt srl • :252
be able to :251
and aeronautics 1966 :251
ames research center :251
upper atmosphere and :250
and aeronautics 1970 :249
of the national :246
and aeronautics 1969 :246
as part of :241
sounding rocket launched :240
lewis research center :240
nasa administrator james :238
would be the :237
research and technology :235
nasa announced it :235
of upper atmosphere :234
by nasa from :234
the moon and :232
in addition to :228
washington post reported :227
of the us :227
johnson space center :227
nasa associate administrator :226
the development of :225
james e webb :223
from vandenberg afb :223
and aeronautics 1978 :220
langley research center :217
and aeronautics 1971 :217
objective investigation of :216
the new york :214
was the first :213
investigation of upper :212
deputy associate administrator :211
scheduled for launch :210
flight research center :210
air force base :210
senate committee on :209
of the first :209
for use in :209
and aeronautics 1976 :209
ussr launched cosmos :208
space science and :208
and aeronautics 1967 :208
the us and :204
would be launched :203
the solar system :203
atmosphere and outer :202
and outer space :202
the use of :201
scientists and engineers :201
and aeronautics 1968 :200
administrator james e :199
proj off • :197
and aeronautics 1973 :197
was announced by :196
spacecraft united states :195
aeronautical and space :195
chairman of the :193
and aeronautics 1977 :193
tracking and data :192
science and applications :192
jet propulsion laboratory :192
• president nixon :191
would be a :190
was launched by :189
of the earth :189
of the air :186
in the space :184
general electric co :184
announced award of :184
national academy of :183
apollosoyuz test project :183
entered orbit with :182
the univ of :181
for manned space :181
and aeronautics 1975 :181
reported that the :180
scientific and technical :179
secretary of the :176
soviet academy of :175
in the us :175
and space sciences :175
was launched from :174
of the soviet :174
of manned space :174
the office of :173
nasa and the :173
a number of :173
national science foundation :172
be used in :172
weight 6000 kg :171
of the solar :171
of science and :171
national aeronautics and :171
institute of technology :170
in space and :170
space description unavailable :169
because of the :169
us and ussr :168
sands missile range :168
white sands missile :167
total weight 6000 :167
announced selection of :167
development of the :166
us air force :165
to be used :165
outer space description :165
a2 plesetsk total :165
rocket and instruments :164
dod spacecraft united :164
astronautical and aeronautical :164
and aeronautical events :164
use of the :163
series payload not :163
satellite series payload :163
manned lunar landing :163
would have to :161
rocket launched from :161
be used to :160
the european space :159
nasa office of :159
assistant administrator for :159
• nasa launched :157
office of space :157
an altitude of :157
secretary of defense :156
had not been :156
the number of :155
the lunar surface :155
nasa manned spacecraft :154
to be launched :153
the cost of :153
some of the :153
end of the :153
deputy director of :153
on aeronautical and :152
in earth orbit :150
and aeronautics 1985 :150
for the space :149
rocket and instrumentation :148
for construction of :148
by nasa for :148
and aeronautics 1974 :148
would be made :147
the department of :147
nasa deputy administrator :147
james c fletcher :147
be used for :147
would not be :146
the surface of :146
and space technology :145
administrator for space :145
instruments functioned satisfactorily :144
a total of :144
committee on aeronautical :143
and instrumentation performed :143
dr james c :142
development of a :142
and instruments functioned :142
of more than :141
instrumentation performed satisfactorily :141
by nasa and :140
announced that the :140
department of defense :139
were expected to :138
part of a :138
orbit with a :138
of a new :138
nasa wallops station :138
be responsible for :138
the house committee :137
of the new :137
for research and :137
ap w star :137
that it would :136
out of the :136
oceanic and atmospheric :136
objective was to :136
and would be :136
for launch in :135
from the sun :134
advanced research and :134
united states and :133
nasa goddard space :133
and data acquisition :133
the space station :132
aeronautical events of :132
of the united :131
from wallops station :131
us space program :130
of aeronautics and :130
as a result :130
announced it would :130
on the space :129
of the lunar :129
of the american :129
most of the :129
for development of :129
ap b sun :129
was scheduled for :128
the fact that :128
sounding rocket from :128
national oceanic and :128
this was the :127
to study the :126
unavailable total weight :125
would be responsible :124
univ of california :124
administrator for manned :124
space shuttle orbiter :123
rocket was launched :123
on the ground :123
had been made :123
expected to be :123
at kennedy space :123
he had been :122
the apollo program :121
that it was :121
of the apollo :121
description unavailable total :121
by the end :121
announced appointment of :121
and atmospheric administration :121
the upper atmosphere :120
in series of :120
cl plesetsk total :120
aeronautics and astronautics :120
total weight 40 :119
the earth and :119
that could be :119
of space science :119
nikeapache sounding rocket :119
lockheed aircraft corp :119
from cape canaveral :119
cost of the :119
air force systems :119
was one of :118
robert c seamans :118
pointed out that :118
nasa marshall space :117
which had been :116
of the earths :116
for space shuttle :116
the sun and :115
sounding rocket was :115
in a series :115
which would be :114
peoples republic of :114
from nasa wallops :114
federal aviation administration :114
events of 1962 :114
weight 40 kg :113
there is no :113
of the shuttle :113
in the first :113
in support of :113
as director of :113
york times reported :112
week space technology :112
to be a :112
space research organization :112
member of the :112
as much as :112
• usaf launched :111
tass in english :111
of the world :111
in the world :111
in preparation for :111
had been launched :111
for more than :111
for first time :111
exploration of the :111
d total weight :111
award of a :111
aviation week space :111
washington evening star :110
was responsible for :110
return to earth :110
meeting of the :110
fletcher nasa administrator :110
c seamans jr :110
c fletcher nasa :110
a result of :110
manned space flights :109
general dynamics corp :109
