total weight :2627
nasa release :2591
space flight :2099
space shuttle :1823
air force :1659
nasa announced :1454
outer space :1109
objective continuation :1072
research center :1058
manned space :1001
flight center :947
description unavailable :945
launch vehicle :807
sounding rocket :751
associate administrator :684
space center :683
space station :675
communications satellite :652
nasa administrator :651
msfc release :629
scientific satellite :615
lunar surface :580
york times :551
space investigations :535
space technology :527
washington post :517
ap wash :512
space research :509
upper atmosphere :504
marshall space :499
soviet union :497
weight unavailable :495
satellite series :495
space science :486
cosmos scientific :483
lunar landing :472
manned spacecraft :450
apollo 11 :449
plesetsk total :447
goddard space :442
washington dc :424
saturn v :422
investigations description :413
president nixon :401
kennedy space :400
gsfc ssr :399
available total :390
ap nyt :387
nasa launched :386
nasa rpt :379
earth orbit :378
vice president :377
aeronautics 1965 :367
objective develop :365
dr robert :351
sounding rockets :342
ussr launched :339
nasa proj :336
wallops station :331
b sun :327
spacecraft center :315
supersonic transport :312
av wk :312
president johnson :310
north american :308
nasa hq :305
rpt srl :303
aircraft corp :303
marshall star :302
space exploration :296
rocket launched :296
earth resources :295
s s :292
cape canaveral :292
successfully launched :291
european space :291
deputy director :289
aeronautics 1964 :287
aviation week :286
vandenberg afb :284
satellite reentered :283
performed satisfactorily :283
aeronautics 1972 :283
flight research :277
spaceflight techniques :276
deputy administrator :271
apollo spacecraft :271
center announced :269
space sciences :268
manned lunar :268
ames research :265
aeronautics 1963 :264
missile range :263
magnetic field :263
develop spaceflight :261
earths atmosphere :260
launch site :258
james e :257
dr james :257
administrator james :257
lewis research :256
nasa deputy :251
cape kennedy :251
aeronautics 1966 :251
aeronautics 1970 :250
communications satellites :249
launched cosmos :248
post reported :247
johnson space :247
mcdonnell douglas :246
aeronautics 1969 :246
launch vehicles :245
press conference :244
lunar orbit :244
solar cells :243
satellite launched :243
dod spacecraft :241
ground stations :239
west germany :234
langley research :234
space flights :233
nasa associate :232
atomic energy :232
boeing co :231
transfer orbit :229
e webb :227
deputy associate :223
apollo 12 :223
jet propulsion :222
usaf launched :221
senate committee :221
aeronautics 1978 :220
objective investigation :217
aeronautics 1971 :217
dr george :214
propulsion laboratory :213
force base :210
apollo 15 :210
test range :209
solar panels :209
los angeles :209
aeronautics 1976 :209
aeronautics 1967 :208
dod release :207
announced award :207
times reported :206
synchronous orbit :204
electric co :204
upi nyt :203
soviet space :203
edwards afb :202
meteorological satellite :201
shuttle orbiter :200
aeronautics 1968 :200
advanced research :199
satellite communications :198
test project :197
msfc announced :197
functioning normally :197
aeronautics 1973 :197
solar wind :194
saturn ib :194
