senate committee on aeronautical and space sciences :118
sounding rocket was launched by nasa from :69
the house committee on science and astronautics :62
nasa associate administrator for manned space flight :61
house committee on science and astronauticsâ€™ subcommittee :48
committee on science and astronauticsâ€™ subcommittee on :48
the senate committee on aeronautical and space :43
of the house committee on science and :41
on the peaceful uses of outer space :35
associate administrator for space science and applications :35
sounding rocket from white sands missile range :33
nasa aerobee 150 sounding rocket launched from :32
committee on the peaceful uses of outer :32
aeronautical events of 1 9 6 2 :31
dr george m low nasa deputy administrator :30
sounding rocket launched by nasa from wsmr :29
dr george e mueller nasa associate administrator :29
and aeronautical events of 1 9 6 :29
usaf launched unidentified satellite from vandenberg afb :28
george e mueller nasa associate administrator for :28
astronautics and aeronautics 1 9 6 3 :28
rocket was launched by nasa from wsmr :27
of house committee on science and astronautics :27
e mueller nasa associate administrator for manned :27
astronautical and aeronautical events of 1 9 :27
sounding rocket launched from nasa wallops station :26
associate administrator for advanced research and technology :26
was launched by ussr into orbit with :25
nasa associate administrator for space science and :25
mueller nasa associate administrator for manned space :25
liftingbody vehicle piloted by nasa test pilot :25
launched unidentified satellite from vandenberg afb by :25
aerobee 150 sounding rocket launched from wsmr :24
∞ house committee on science and astronautics :23
rocket launched by nasa from wsmr carried :23
rocket from white sands missile range carrying :23
was launched by nasa from wsmr carrying :22
associate administrator for manned space flight dr :22
un committee on the peaceful uses of :21
to local time at the launch site :21
the house committee on science and astronauticsâ€™ :21
referenced to local time at the launch :21
manned space flight dr george e mueller :21
for manned space flight dr george e :21
dr hugh l dryden nasa deputy administrator :21
deputy associate administrator for manned space flight :21
administrator for manned space flight dr george :21
seamans jr secretary of the air force :20
of senate committee on aeronautical and space :20
launched by nasa from churchill research range :20
∞ secretary of transportation john a volpe :19
the science and technology division of the :19
secretary of transportation john a volpe announced :19
robert c seamans jr secretary of the :19
of launch is referenced to local time :19
nikeapache sounding rocket launched by nasa from :19
launch is referenced to local time at :19
is referenced to local time at the :19
c seamans jr secretary of the air :19
astronautics and aeronautics 1 9 6 4 :19
∞ nasa aerobee 150 sounding rocket launched :18
science and technology division of the library :18
of the national aeronautics and space council :18
dr robert c seamans jr secretary of :18
date of launch is referenced to local :18
are from the un public registry the :18
and technology division of the library of :18
aerobee 170 sounding rocket from white sands :18
170 sounding rocket from white sands missile :18
sounding rocket launched by nasa from churchill :17
national aeronautics and space act of 1958 :17
nasa deputy administrator dr hugh l dryden :17
mi sounding rocket launched by nasa from :17
deputy administrator dr robert c seamans jr :17
before the house committee on science and :17
aerobee 150 mi sounding rocket launched by :17
150 mi sounding rocket launched by nasa :17
technology division of the library of congress :16
from the un public registry the satellite :16
before house committee on science and astronauticsâ€™ :16
was managed by gsfc under ossa direction :15
unidentified satellite from vandenberg afb by titan :15
to obtain stability and control data at :15
the american institute of aeronautics and astronautics :15
rocket launched from nasa wallops station carried :15
nasa deputy administrator dr robert c seamans :15
nasa associate administrator for advanced research and :15
launched aerobee 170 sounding rocket from white :15
dr homer e newell nasa associate administrator :15
chairman of senate committee on aeronautical and :15
∞ nikeapache sounding rocket launched by nasa :14
the un public registry the satellite situation :14
the national aeronautics and space act of :14
sounding rocket launched by nasa from wallops :14
saturn ib and saturn v launch vehicles :14
rep george p miller dcalif chairman of :14
piloted by nasa test pilot john a :14
of the senate committee on aeronautical and :14
neil a armstrong edwin e aldrin jr :14
chairman of house committee on science and :14
by secretary of transportation john a volpe :14
before senate committee on aeronautical and space :14
appendix a satellites space probes and manned :14
a satellites space probes and manned space :14
150 sounding rocket launched from wsmr carried :14
∞ nasa launched aerobee 170 sounding rocket :13
∞ dr james c fletcher nasa administrator :13
vehicle piloted by nasa test pilot john :13
un public registry the satellite situation report :13
the united states and the soviet union :13
space flight center announced the award of :13
sounding rocket launched from churchill research range :13
rocket launched from churchill research range carried :13
pratt whitney div of united aircraft corp :13
on science and astronauticsâ€™ subcommittee on manned :13
nasa launched aerobee 170 sounding rocket from :13
from white sands missile range n mex :13
edwin e aldrin jr and michael collins :13
by nasa test pilot john a manke :13
by nasa from churchill research range carried :13
and aeronautical events o f 1 9 :13
agency statements in the soviet press and :13
a armstrong edwin e aldrin jr and :13
∞ new york times editorial commented on :12
was managed by goddard space flight center :12
was launched by nasa from wallops station :12
vehicle piloted by maj jerauld r gentry :12
to land a man on the moon :12
tass news agency statements in the soviet :12
statements in the soviet press and international :12
science and astronauticsâ€™ subcommittee on manned space :12
satellites space probes and manned space flights :12
rocket launched by nasa from wallops station :12
rocket launched by nasa from churchill research :12
obtain stability and control data at mach :12
nikeapache sounding rocket was launched by nasa :12
news agency statements in the soviet press :12
many of the results can not be :12
managed by goddard space flight center under :12
in the soviet press and international news :12
house committee on science and astro nautics :12
house com mittee on science and astronautics :12
george p miller dcalif chairman of house :12
edward g gibson and william r pogue :12
dr james c fletcher nasa administrator said :12
dr edward g gibson and william r :12
dr edward c welsh executive secretary of :12
committee on peaceful uses of outer space :12
by the house committee on science and :12
by nasa test pilot william h dana :12
by dr james c fletcher nasa administrator :12
astronautical and aeronautical events o f 1 :12
armstrong edwin e aldrin jr and michael :12
announced by secretary of transportation john a :12
and astronauticsâ€™ subcommittee on manned space flight :12
an attempt has been made to classify :12
aerobee 170 sounding rocket was launched by :12
administrator for space science and applications dr :12
∞ secretary of defense robert s mcnamara :11
∞ nasa nikeapache sounding rocket launched from :11
∞ aerobee 150 mi sounding rocket launched :11
tracking and data acquisition was managed by :11
to house committee on science and astronautics :11
the united nations public registry the satellite :11
the un committee on the peaceful uses :11
the launch vehicle and the payload and :11
space science and applications dr homer e :11
secretary of the air force dr robert :11
satellite from vandenberg afb by titan iiibagena :11
russian data are from the un public :11
rocket was launched by nasa from churchill :11
program was managed by gsfc under ossa :11
president of the soviet academy of sciences :11
p miller dcalif chairman of house committee :11
p carr dr edward g gibson and :11
operations control center at goddard space flight :11
of the results can not be neatly :11
of the air force dr robert c :11
not give the payload a chance to :11
nasa office of advanced research and technology :11
mission did not meet minimum scientific requirements :11
liftingbody vehicle piloted by maj jerauld r :11
homer e newell nasa associate administrator for :11
for space science and applications dr homer :11
for further information on each item see :11
events o f 1 9 6 2 :11
eugene a cernan ronald e evans and :11
erts 1 earth resources technology satellite launched :11
did not give the payload a chance :11
data would be compared with data from :11
data are from the un public registry :11
control center at goddard space flight center :11
committee on aero nautical and space sciences :11
carr dr edward g gibson and william :11
before house committee on science and astronautics :11
astronauts neil a armstrong edwin e aldrin :11
assistant secretary of the air force for :11
aeronautical events o f 1 9 6 :11
aerobee 150 sounding rocket launched by nasa :11
a fourth category unknown unk has been :11
170 sounding rocket was launched by nasa :11
150 sounding rocket launched by nasa from :11
∞ aerobee 170 sounding rocket was launched :10
x15 no 3 flown by nasa pilot :10
wernher von braun nasa deputy associate administrator :10
volume and the entries in the main :10
vehicle and the payload and to summarize :10
usaf launched an unidentified satellite from vandenberg :10
total results in terms of primary mission :10
to summarize total results in terms of :10
this volume and the entries in the :10
the results can not be neatly categorized :10
the payload and to summarize total results :10
the payload a chance to exercise its :10
the office of aeronautics and space technology :10
the house com mittee on science and :10
the air force dr robert c seamans :10
that have a orbited b as probes :10
that are one day earlier in this :10
testified before house committee on science and :10
test pilot thomas c mcmurtry successfully completed :10
sources included the united nations public registry :10
senate committee on aero nautical and space :10
scott james b irwin and alfred m :10
ronald e evans and dr harrison h :10
r scott james b irwin and alfred :10
performance of both the launch vehicle and :10
payloads that have a orbited b as :10
payload and to summarize total results in :10
payload a chance to exercise its main :10
on each item see appendix a of :10
of this volume and the entries in :10
of the science and technology division of :10
of the air force eugene m zuckert :10
of both the launch vehicle and the :10
niketomahawk sounding rocket was launched by nasa :10
nasa office of space science and applications :10
nasa deputy associate administrator for manned space :10
nasa and the soviet academy of sciences :10
miller dcalif chairman of house committee on :10
mex chairman of senate committee on aeronautical :10
leonard c bruno of the science and :10
launched two unidentified satellites from vandenberg afb :10
launched an unidentified satellite from vandenberg afb :10
launch vehicle and the payload and to :10
l gordon cooper and charles conrad jr :10
keldysh president of soviet academy of sciences :10
information on each item see appendix a :10
included the united nations public registry the :10
further information on each item see appendix :10
from white sands missile range carrying a :10
edward c welsh executive secretary of the :10
e newell nasa associate administrator for space :10
dr wernher von braun nasa deputy associate :10
dr james c fletcher nasa administrator and :10
david r scott james b irwin and :10
dates that are one day earlier in :10
communist party general secretary leonid i brezhnev :10
chairman of the house committee on science :10
cernan ronald e evans and dr harrison :10
c welsh executive secretary of the national :10
by leonard c bruno of the science :10
bruno of the science and technology division :10
both the launch vehicle and the payload :10
before the senate committee on aeronautical and :10
astronauts l gordon cooper and charles conrad :10
astronauts eugene a cernan ronald e evans :10
astronauts david r scott james b irwin :10
associate administrator for tracking and data acquisition :10
apollo 11 astronauts neil a armstrong edwin :10
and to summarize total results in terms :10
and the payload and to summarize total :10
american association for the advancement of science :10
air force dr robert c seamans jr :10
a â€œsatellites space probes and manned space :10
a of this volume and the entries :10
a chance to exercise its main experiments :10
a cernan ronald e evans and dr :10
11 astronauts neil a armstrong edwin e :10
∞ senate committee on aeronautical and space :9
∞ nasa administrator james e webb said :9
x24a liftingbody vehicle piloted by nasa test :9
white house office of science and technology :9
which are referenced to greenwich mean time :9
was to obtain stability and control data :9
was managed by gsfc under overall direction :9
was announced by secretary of transportation john :9
usaf launched two unidentified satellites from vandenberg :9
united nations public registry the satellite situation :9
under overall direction of nasa office of :9
un committee on peaceful uses of outer :9
transmit soviet central tv programs to the :9
to obtain temperature pressure density and wind :9
they ignore the fact that a great :9
the dept of housing and urban development :9
than in listings which are referenced to :9
tabulation was compiled from open sources by :9
summarize total results in terms of primary :9
space probes and manned space flights a :9
soviet central tv programs to the orbita :9
see appendix a of this volume and :9
rocket was launched by nasa from wallops :9
rocket from white sands missile range n :9
releases of the department of defense nasa :9
probes and manned space flights a chronicle :9
piloted by maj jerauld r gentry usaf :9
orbited b as probes ascended to at :9
of the national aeronautics and space administration :9
of the american institute of aeronautics and :9
obtain temperature pressure density and wind data :9
newell nasa associate administrator for space science :9
nasa associate administrator dr robert c seamans :9
manned flights all in earth orbit with :9
managed by gsfc under overall direction of :9
listings which are referenced to greenwich mean :9
launched by nasa from churchill re search :9
james b irwin and alfred m worden :9
james a lovell jr and william a :9
item see appendix a of this volume :9
in listings which are referenced to greenwich :9
ignore the fact that a great deal :9
have a orbited b as probes ascended :9
give the payload a chance to exercise :9
gerald p carr dr edward g gibson :9
g l o liftingbody vehicle piloted by :9
from churchill research range carried univ of :9
frank borman james a lovell jr and :9
for manned space flight dale d myers :9
executive secretary of the national aeronautics and :9
each item see appendix a of this :9
e evans and dr harrison h schmitt :9
committee on aeronautical and space sciences and :9
charles a berry nasa director of life :9
c bruno of the science and technology :9
by secretary of defense melvin r laird :9
by nasa office of manned space flight :9
by nasa from churchill re search range :9
by gsfc under overall direction of nasa :9
borman james a lovell jr and william :9
b as probes ascended to at least :9
asterisk by the date marks those dates :9
associate administrator for manned space flight said :9
associate administrator for manned space flight dale :9
associate administrator dr robert c seamans jr :9
as probes ascended to at least the :9
appendix a â€œsatellites space probes and manned :9
appendix a of this volume and the :9
and the entries in the main chronology :9
and recording their sound arrivals on ground :9
and manned space flights a chronicle for :9
also they ignore the fact that a :9
after air launch from b52 aircraft at :9
administrator for manned space flight dale d :9
a orbited b as probes ascended to :9
15 astronauts david r scott james b :9
∞marshall space flight center announced the award :8
∞ usaf launched unidentified satellite from wtr :8
∞ rep george p miller dcalif chairman :8
∞ president nixon submitted to senate nomination :8
∞ nikeapache sounding rocket was launched by :8
∞ nasa test pilot william h dana :8
∞ nasa goddard space flight center announced :8
∞ aerobee 150 sounding rocket launched by :8
â€œsatellites space probes and manned space flights :8
x24a liftingbody vehicle piloted by maj jerauld :8
would help provide a system of longrange :8
white sands missile range n mex carrying :8
was directed by nasa office of manned :8
von braun nasa deputy associate administrator for :8
venture into space early years of goddard :8
vehicle malfunctions did not give the payload :8
v keldysh president of soviet academy of :8
two unidentified satellites from vandenberg afb by :8
the satellite would help provide a system :8
the operations control center at goddard space :8
the following tabulation was compiled from open :8
the entries in the main chronology as :8
test pilot william h dana flew x15 :8
telegraph radio communications in the ussr and :8
system of longrange telephone and telegraph radio :8
stafford vance d brand and donald k :8
space flight center under the direction of :8
space early years of goddard space flight :8
soviet communist party general secretary leonid i :8
sources provided in the chronology for some :8
secretary of the national aeronautics and space :8
secretary of the air force eugene m :8
satellite would help provide a system of :8
registry the satellite situation report translations from :8
public registry the satellite situation report translations :8
provided in the chronology for some of :8
provide a system of longrange telephone and :8
program was directed by nasa office of :8
probes from sounding rockets etc or c :8
president nixon submitted to senate nomination of :8
piloted by nasa test pilot william h :8
pilot william h dana flew x15 no :8
performed satisfactorily and good data were obtained :8
p stafford vance d brand and donald :8
other foreign nations are from the un :8
on science and astronauticsâ€™ subcommittee on space :8
on science and astronauticsâ€™ subcommittee on nasa :8
on science and astronauticsâ€™ sub committee on :8
of other foreign nations are from the :8
not include all sources provided in the :8
nikeapache sounding rocket launched from nasa wallops :8
nations public registry the satellite situation report :8
nations are from the un public registry :8
nasaâ€™s g l o liftingbody vehicle piloted :8
nasa test pilot william h dana flew :8
nasa launched aerobee 150 sounding rocket from :8
mstislav v keldysh president of soviet academy :8
malfunctions did not give the payload a :8
list does not include all sources provided :8
launched from ksc launch complex 39 pad :8
launched by nasa from wallops station carried :8
l gordon cooper lcol usaf and charles :8
james m grimwood and charles c alexander :8
james c fletcher nasa administrator said in :8
into space early years of goddard space :8
include all sources provided in the chronology :8
in this tabulation than in listings which :8
in the chronology for some of the :8
in earth orbit 3 in lunar orbit :8
house committee on science and astronauticsâ€™ sub :8
help provide a system of longrange telephone :8
had been turned on and were operating :8
grenades and recording their sound arrivals on :8
goddard space flight center under the direction :8
george m low nasa deputy administrator said :8
from baykonur cosmodrome into orbit with a :8
foreign nations are from the un public :8
following tabulation was compiled from open sources :8
flight center under the direction of the :8
earth orbit 3 in lunar orbit and :8
dr rocco a petrone apollo program director :8
dr george m low acting nasa administrator :8
dr charles a berry msc director of :8
dr charles a berry director of medical :8
does not include all sources provided in :8
directed by nasa office of manned space :8
detonating grenades and recording their sound arrivals :8
deputy associate administrator for space science and :8
david r scott alfred m worden and :8
committee on science and astronauticsâ€™ sub committee :8
charles conrad jr richard f gordon jr :8
charles a berry msc director of medical :8
central tv programs to the orbita network :8
center at goddard space flight center public :8
by the operations control center at goddard :8
by nasa test pilot thomas c mcmurtry :8
by goddard space flight center under the :8
by detonating grenades and recording their sound :8
brant vc sounding rocket from white sands :8
black brant vc sounding rocket from white :8
berry msc director of medical research and :8
astronauts frank borman james a lovell jr :8
astronauts charles conrad jr richard f gordon :8
appear in abbreviated form are listed below :8
apollo program was directed by nasa office :8
apollo 14 astronauts alan b shepard jr :8
and telegraph radio communications in the ussr :8
and astronauticsâ€™ subcommittee on space science and :8
american assn for the advancement of science :8
all sources provided in the chronology for :8
air force announced the award of a :8
aerobee 150 sounding rocket launched from white :8
aerobee 150 sounding rocket from white sands :8
a system of longrange telephone and telegraph :8
a lovell jr and william a anders :8
a double asterisk by the date marks :8
a berry nasa director of life sciences :8
a berry msc director of medical research :8
150 sounding rocket was launched by nasa :8
150 sounding rocket launched from white sands :8
∞ secretary of defense melvin r laird :7
∞ nasa niketomahawk sounding rocket launched from :7
